15 de febrero 2021,16,12,"0,9 mm",Lluvia moderada a intervalos,24 Km/h,A Coruña
15 de febrero 2020,14,11,0 mm,Cielo cubierto,29 Km/h,A Coruña
15 de febrero 2019,16,10,0 mm,Cielo cubierto,14 Km/h,A Coruña
16 de febrero 2023,14,10,0 mm,Cielo cubierto,13 Km/h,A Coruña
16 de febrero 2022,14,11,0 mm,Cielo cubierto,25 Km/h,A Coruña
16 de febrero 2021,13,10,18 mm,Fuertes lluvias,28 Km/h,A Coruña
16 de febrero 2020,15,11,"9,2 mm",Ligeras lluvias,34 Km/h,A Coruña
16 de febrero 2019,18,10,0 mm,Despejado,11 Km/h,A Coruña
17 de febrero 2023,17,8,0 mm,Despejado,15 Km/h,A Coruña
17 de febrero 2022,15,11,0 mm,Nublado,14 Km/h,A Coruña
17 de febrero 2021,13,9,"2,7 mm",Ligeras precipitaciones,23 Km/h,A Coruña
17 de febrero 2020,10,8,"12,2 mm",Periodos de lluvia moderada,23 Km/h,A Coruña
17 de febrero 2019,12,8,"10,5 mm",Lluvia moderada,18 Km/h,A Coruña
18 de febrero 2023,18,9,0 mm,Despejado,13 Km/h,A Coruña
18 de febrero 2022,13,8,"1,8 mm",Ligeras precipitaciones,26 Km/h,A Coruña
18 de febrero 2021,11,8,"19,3 mm",Fuertes lluvias,29 Km/h,A Coruña
18 de febrero 2020,11,7,"0,1 mm",Nublado,9 Km/h,A Coruña
18 de febrero 2019,11,8,"9,2 mm",Lluvias ligeras a intervalos,8 Km/h,A Coruña
19 de febrero 2023,16,8,0 mm,Parcialmente nublado,21 Km/h,A Coruña
19 de febrero 2022,12,7,"0,2 mm",Cielo cubierto,19 Km/h,A Coruña
19 de febrero 2021,13,8,"8,6 mm",Lluvia moderada a intervalos,31 Km/h,A Coruña
19 de febrero 2020,12,6,0 mm,Cielo cubierto,9 Km/h,A Coruña
19 de febrero 2019,11,7,"0,3 mm",Despejado,8 Km/h,A Coruña
20 de febrero 2023,17,10,0 mm,Parcialmente nublado,10 Km/h,A Coruña
20 de febrero 2022,14,8,0 mm,Cielo cubierto,14 Km/h,A Coruña
20 de febrero 2021,13,10,"61,2 mm",Fuertes lluvias,30 Km/h,A Coruña
20 de febrero 2020,11,6,"1,1 mm",Llovizna,25 Km/h,A Coruña
20 de febrero 2019,13,6,0 mm,Cielo cubierto,14 Km/h,A Coruña
21 de febrero 2023,15,11,"0,5 mm",Cielos tormentosos en las aproximaciones,17 Km/h,A Coruña
21 de febrero 2022,13,10,"0,1 mm",Lluvia moderada a intervalos,15 Km/h,A Coruña
21 de febrero 2021,10,8,"8,3 mm",Lluvias fuertes o moderadas,13 Km/h,A Coruña
21 de febrero 2020,15,8,0 mm,Parcialmente nublado,20 Km/h,A Coruña
21 de febrero 2019,16,9,0 mm,Nublado,15 Km/h,A Coruña
22 de febrero 2023,10,8,"1,5 mm",Ligeras precipitaciones,25 Km/h,A Coruña
22 de febrero 2022,16,7,0 mm,Despejado,10 Km/h,A Coruña
22 de febrero 2021,12,7,"0,9 mm",Lluvia moderada a intervalos,14 Km/h,A Coruña
22 de febrero 2020,14,10,0 mm,Parcialmente nublado,9 Km/h,A Coruña
22 de febrero 2019,17,10,0 mm,Nublado,13 Km/h,A Coruña
