11 de mayo 2020,16,11,"5,3 mm",Lluvia moderada a intervalos,21 Km/h,A Coruña
11 de mayo 2019,15,10,"0,4 mm",Neblina,16 Km/h,A Coruña
12 de mayo 2023,15,11,"6,6 mm",Ligeras precipitaciones,21 Km/h,A Coruña
12 de mayo 2022,17,12,0 mm,Neblina,26 Km/h,A Coruña
12 de mayo 2021,13,10,"9,2 mm",Ligeras precipitaciones,28 Km/h,A Coruña
12 de mayo 2020,14,8,"2,8 mm",Ligeras lluvias,20 Km/h,A Coruña
12 de mayo 2019,20,10,0 mm,Nublado,17 Km/h,A Coruña
13 de mayo 2023,16,11,"1,6 mm",Ligeras precipitaciones,23 Km/h,A Coruña
13 de mayo 2022,20,12,0 mm,Neblina,19 Km/h,A Coruña
13 de mayo 2021,15,9,30 mm,Fuertes lluvias,27 Km/h,A Coruña
13 de mayo 2020,16,11,"2,5 mm",Ligeras precipitaciones,26 Km/h,A Coruña
13 de mayo 2019,21,13,0 mm,Despejado,17 Km/h,A Coruña
14 de mayo 2023,17,11,"0,8 mm",Lluvia moderada a intervalos,19 Km/h,A Coruña
14 de mayo 2022,19,12,0 mm,Parcialmente nublado,15 Km/h,A Coruña
14 de mayo 2021,14,9,"1,3 mm",Ligeras precipitaciones,22 Km/h,A Coruña
14 de mayo 2020,15,12,"0,3 mm",Cielos tormentosos en las aproximaciones,35 Km/h,A Coruña
14 de mayo 2019,22,13,0 mm,Despejado,13 Km/h,A Coruña
15 de mayo 2023,18,12,"0,4 mm",Ligeras precipitaciones,29 Km/h,A Coruña
15 de mayo 2022,22,13,"0,2 mm",Lluvia moderada a intervalos,21 Km/h,A Coruña
15 de mayo 2021,14,11,"53,6 mm",Fuertes lluvias,25 Km/h,A Coruña
15 de mayo 2020,15,12,0 mm,Nublado,33 Km/h,A Coruña
15 de mayo 2019,19,12,0 mm,Parcialmente nublado,11 Km/h,A Coruña
16 de mayo 2023,17,10,"0,1 mm",Cielo cubierto,35 Km/h,A Coruña
16 de mayo 2022,20,14,1 mm,Ligeras precipitaciones,24 Km/h,A Coruña
16 de mayo 2021,14,11,"14,2 mm",Ligeras lluvias,22 Km/h,A Coruña
16 de mayo 2020,17,10,0 mm,Parcialmente nublado,31 Km/h,A Coruña
16 de mayo 2019,13,11,"11,9 mm",Lluvias fuertes o moderadas,14 Km/h,A Coruña
17 de mayo 2023,22,11,0 mm,Parcialmente nublado,34 Km/h,A Coruña
17 de mayo 2022,18,15,2 mm,Ligeras lluvias,18 Km/h,A Coruña
17 de mayo 2021,14,11,1 mm,Lluvia moderada a intervalos,14 Km/h,A Coruña
17 de mayo 2020,17,9,0 mm,Cielo cubierto,15 Km/h,A Coruña
17 de mayo 2019,13,10,"11,3 mm",Ligeras precipitaciones,21 Km/h,A Coruña
18 de mayo 2023,18,11,0 mm,Parcialmente nublado,32 Km/h,A Coruña
18 de mayo 2022,19,13,1 mm,Llovizna,20 Km/h,A Coruña
18 de mayo 2021,15,9,0 mm,Parcialmente nublado,10 Km/h,A Coruña
18 de mayo 2020,18,13,0 mm,Parcialmente nublado,10 Km/h,A Coruña
18 de mayo 2019,13,10,"7,8 mm",Lluvias fuertes o moderadas,14 Km/h,A Coruña
19 de mayo 2023,17,12,"0,2 mm",Lluvia moderada a intervalos,31 Km/h,A Coruña
19 de mayo 2022,18,11,0 mm,Parcialmente nublado,16 Km/h,A Coruña
19 de mayo 2021,14,11,"1,1 mm",Lluvia moderada a intervalos,15 Km/h,A Coruña
19 de mayo 2020,20,12,0 mm,Parcialmente nublado,8 Km/h,A Coruña
19 de mayo 2019,13,8,0 mm,Parcialmente nublado,13 Km/h,A Coruña
20 de mayo 2023,17,12,"0,4 mm",Lluvia moderada a intervalos,32 Km/h,A Coruña
20 de mayo 2022,20,12,0 mm,Neblina,25 Km/h,A Coruña
20 de mayo 2021,17,10,0 mm,Parcialmente nublado,7 Km/h,A Coruña
20 de mayo 2020,19,14,0 mm,Parcialmente nublado,10 Km/h,A Coruña
20 de mayo 2019,15,9,"0,1 mm",Cielo cubierto,8 Km/h,A Coruña
21 de mayo 2023,18,12,0 mm,Parcialmente nublado,32 Km/h,A Coruña
21 de mayo 2022,23,13,0 mm,Parcialmente nublado,20 Km/h,A Coruña
21 de mayo 2021,14,12,"2,1 mm",Llovizna,15 Km/h,A Coruña
21 de mayo 2020,20,11,0 mm,Parcialmente nublado,7 Km/h,A Coruña
21 de mayo 2019,17,11,"0,1 mm",Despejado,15 Km/h,A Coruña
22 de mayo 2023,18,13,"0,1 mm",Lluvia moderada a intervalos,32 Km/h,A Coruña
22 de mayo 2022,15,13,"3,3 mm",Ligeras precipitaciones,13 Km/h,A Coruña
22 de mayo 2021,13,10,"9,7 mm",Lluvias fuertes o moderadas,18 Km/h,A Coruña
22 de mayo 2020,16,13,0 mm,Cielo cubierto,11 Km/h,A Coruña
22 de mayo 2019,19,12,0 mm,Parcialmente nublado,13 Km/h,A Coruña
23 de mayo 2023,18,14,"0,1 mm",Lluvia moderada a intervalos,31 Km/h,A Coruña
23 de mayo 2022,16,12,"0,3 mm",Llovizna a intervalos,16 Km/h,A Coruña
23 de mayo 2021,15,9,"1,6 mm",Ligeras precipitaciones,23 Km/h,A Coruña
23 de mayo 2020,16,12,0 mm,Nublado,29 Km/h,A Coruña
23 de mayo 2019,16,12,"0,7 mm",Lluvia moderada a intervalos,13 Km/h,A Coruña
24 de mayo 2023,21,14,0 mm,Parcialmente nublado,34 Km/h,A Coruña
24 de mayo 2022,14,11,"1,9 mm",Ligeras precipitaciones,16 Km/h,A Coruña
24 de mayo 2021,13,11,"4,9 mm",Ligeras precipitaciones,20 Km/h,A Coruña
24 de mayo 2020,20,12,0 mm,Parcialmente nublado,28 Km/h,A Coruña
24 de mayo 2019,15,11,0 mm,Parcialmente nublado,18 Km/h,A Coruña
25 de mayo 2023,22,13,0 mm,Despejado,37 Km/h,A Coruña
25 de mayo 2022,17,11,"0,3 mm",Lluvia moderada a intervalos,14 Km/h,A Coruña
25 de mayo 2021,14,11,"0,4 mm",Lluvia moderada a intervalos,19 Km/h,A Coruña
25 de mayo 2020,18,12,0 mm,Parcialmente nublado,32 Km/h,A Coruña
25 de mayo 2019,17,12,0 mm,Parcialmente nublado,18 Km/h,A Coruña
26 de mayo 2023,23,13,"0,1 mm",Cielos tormentosos en las aproximaciones,31 Km/h,A Coruña
26 de mayo 2022,20,11,0 mm,Despejado,30 Km/h,A Coruña
26 de mayo 2021,15,11,0 mm,Parcialmente nublado,13 Km/h,A Coruña
26 de mayo 2020,20,14,0 mm,Despejado,34 Km/h,A Coruña
26 de mayo 2019,17,12,0 mm,Parcialmente nublado,14 Km/h,A Coruña
27 de mayo 2023,21,14,"0,2 mm",Parcialmente nublado,16 Km/h,A Coruña
27 de mayo 2022,25,12,0 mm,Despejado,31 Km/h,A Coruña
27 de mayo 2021,17,11,0 mm,Nublado,10 Km/h,A Coruña
27 de mayo 2020,24,15,0 mm,Parcialmente nublado,24 Km/h,A Coruña
27 de mayo 2019,15,12,"0,9 mm",Llovizna,19 Km/h,A Coruña
28 de mayo 2023,20,13,8 mm,Intervalos de lluvias ligeras con tomenta en la región,22 Km/h,A Coruña
28 de mayo 2022,26,13,0 mm,Despejado,23 Km/h,A Coruña
28 de mayo 2021,19,14,0 mm,Parcialmente nublado,7 Km/h,A Coruña
28 de mayo 2020,24,19,"0,4 mm",Lluvia moderada a intervalos,9 Km/h,A Coruña
28 de mayo 2019,15,11,"0,3 mm",Parcialmente nublado,19 Km/h,A Coruña
29 de mayo 2023,19,14,"1,6 mm",Lluvia moderada a intervalos,15 Km/h,A Coruña
29 de mayo 2022,20,14,"0,7 mm",Lluvia moderada a intervalos,13 Km/h,A Coruña
29 de mayo 2021,16,12,0 mm,Nublado,25 Km/h,A Coruña
29 de mayo 2020,23,18,0 mm,Parcialmente nublado,11 Km/h,A Coruña
29 de mayo 2019,19,11,0 mm,Despejado,15 Km/h,A Coruña
30 de mayo 2023,19,14,"8,8 mm",Lluvia moderada a intervalos,15 Km/h,A Coruña
30 de mayo 2022,19,13,"0,6 mm",Ligeras precipitaciones,11 Km/h,A Coruña
30 de mayo 2021,18,12,0 mm,Parcialmente nublado,26 Km/h,A Coruña
30 de mayo 2020,21,15,0 mm,Cielo cubierto,13 Km/h,A Coruña
30 de mayo 2019,24,15,0 mm,Despejado,14 Km/h,A Coruña
31 de mayo 2023,20,14,"0,7 mm",Neblina,23 Km/h,A Coruña
31 de mayo 2022,19,14,"1,4 mm",Llovizna,10 Km/h,A Coruña
31 de mayo 2021,21,14,"0,1 mm",Parcialmente nublado,10 Km/h,A Coruña
31 de mayo 2020,22,12,"8,4 mm",Lluvias fuertes o moderadas,6 Km/h,A Coruña
31 de mayo 2019,26,17,0 mm,Despejado,12 Km/h,A Coruña
1 de junio 2023,22,12,0 mm,Neblina,31 Km/h,A Coruña
1 de junio 2022,20,13,"1,1 mm",Ligeras precipitaciones,9 Km/h,A Coruña
1 de junio 2021,19,15,"4,4 mm",Intervalos de lluvias ligeras con tomenta en la región,21 Km/h,A Coruña
1 de junio 2020,18,14,"10,4 mm",Intervalos de lluvias ligeras con tomenta en la región,9 Km/h,A Coruña
1 de junio 2019,22,16,0 mm,Despejado,11 Km/h,A Coruña
2 de junio 2023,20,13,0 mm,Parcialmente nublado,14 Km/h,A Coruña
2 de junio 2022,18,14,"1,2 mm",Ligeras precipitaciones,10 Km/h,A Coruña
2 de junio 2021,17,12,2 mm,Llovizna a intervalos,29 Km/h,A Coruña
2 de junio 2020,20,16,"17,4 mm",Lluvias fuertes o moderadas,10 Km/h,A Coruña
2 de junio 2019,20,15,"3,3 mm",Ligeras precipitaciones,13 Km/h,A Coruña
3 de junio 2023,21,14,"1,1 mm",Despejado,20 Km/h,A Coruña
3 de junio 2022,18,12,"0,7 mm",Ligeras precipitaciones,9 Km/h,A Coruña
3 de junio 2021,15,11,"0,6 mm",Lluvia moderada a intervalos,14 Km/h,A Coruña
3 de junio 2020,18,14,"0,1 mm",Parcialmente nublado,16 Km/h,A Coruña
3 de junio 2019,17,14,"3,9 mm",Llovizna,12 Km/h,A Coruña
4 de junio 2023,21,14,"1,6 mm",Neblina,23 Km/h,A Coruña
4 de junio 2022,18,13,"1,3 mm",Lluvia moderada a intervalos,11 Km/h,A Coruña
4 de junio 2021,15,10,"0,1 mm",Lluvia moderada a intervalos,20 Km/h,A Coruña
4 de junio 2020,16,14,"2,1 mm",Ligeras precipitaciones,18 Km/h,A Coruña
4 de junio 2019,16,12,"7,2 mm",Ligeras lluvias,19 Km/h,A Coruña
5 de junio 2023,21,14,"2,4 mm",Despejado,15 Km/h,A Coruña
5 de junio 2022,17,13,"0,4 mm",Ligeras precipitaciones,9 Km/h,A Coruña
5 de junio 2021,19,11,0 mm,Parcialmente nublado,26 Km/h,A Coruña
5 de junio 2020,16,12,"0,1 mm",Nublado,13 Km/h,A Coruña
5 de junio 2019,14,11,"13,2 mm",Lluvias fuertes o moderadas,17 Km/h,A Coruña
6 de junio 2023,23,15,"1,5 mm",Lluvia moderada a intervalos,20 Km/h,A Coruña
6 de junio 2022,18,12,"0,4 mm",Lluvia moderada a intervalos,15 Km/h,A Coruña
6 de junio 2021,18,12,0 mm,Parcialmente nublado,25 Km/h,A Coruña
6 de junio 2020,16,14,"1,2 mm",Ligeras precipitaciones,16 Km/h,A Coruña
6 de junio 2019,14,11,"22,5 mm",Lluvia moderada,47 Km/h,A Coruña
7 de junio 2023,19,16,"24,5 mm",Lluvia moderada,13 Km/h,A Coruña
7 de junio 2022,20,11,0 mm,Nublado,20 Km/h,A Coruña
7 de junio 2021,17,12,0 mm,Parcialmente nublado,21 Km/h,A Coruña
7 de junio 2020,14,11,"0,3 mm",Nublado,18 Km/h,A Coruña
7 de junio 2019,14,11,"11,9 mm",Lluvias fuertes o moderadas,30 Km/h,A Coruña
8 de junio 2023,22,15,"23,3 mm",Ligeras precipitaciones,12 Km/h,A Coruña
8 de junio 2022,19,15,"0,3 mm",Lluvia moderada a intervalos,16 Km/h,A Coruña
8 de junio 2021,17,12,0 mm,Parcialmente nublado,21 Km/h,A Coruña
8 de junio 2020,16,11,"2,1 mm",Ligeras precipitaciones,22 Km/h,A Coruña
8 de junio 2019,15,9,0 mm,Cielo cubierto,14 Km/h,A Coruña
9 de junio 2023,20,15,"35,6 mm",Ligeras precipitaciones,18 Km/h,A Coruña
9 de junio 2022,20,13,"0,1 mm",Parcialmente nublado,11 Km/h,A Coruña
9 de junio 2021,18,14,0 mm,Parcialmente nublado,21 Km/h,A Coruña
9 de junio 2020,16,11,"0,3 mm",Lluvia moderada a intervalos,21 Km/h,A Coruña
9 de junio 2019,15,9,0 mm,Nublado,16 Km/h,A Coruña
10 de junio 2023,18,14,"6,9 mm",Ligeras precipitaciones,11 Km/h,A Coruña
10 de junio 2022,21,14,0 mm,Despejado,22 Km/h,A Coruña
10 de junio 2021,19,13,0 mm,Parcialmente nublado,27 Km/h,A Coruña
10 de junio 2020,16,12,"0,5 mm",Lluvia moderada a intervalos,25 Km/h,A Coruña
10 de junio 2019,15,10,"0,9 mm",Llovizna,12 Km/h,A Coruña
11 de junio 2023,21,13,"0,4 mm",Parcialmente nublado,14 Km/h,A Coruña
11 de junio 2022,20,14,0 mm,Nublado,33 Km/h,A Coruña
11 de junio 2021,20,13,0 mm,Parcialmente nublado,32 Km/h,A Coruña
11 de junio 2020,13,12,"11,3 mm",Lluvia moderada,25 Km/h,A Coruña
11 de junio 2019,14,11,"4,5 mm",Lluvia moderada a intervalos,19 Km/h,A Coruña
12 de junio 2023,19,14,"12,6 mm",Ligeras precipitaciones,7 Km/h,A Coruña
12 de junio 2022,22,15,0 mm,Cielo cubierto,36 Km/h,A Coruña
12 de junio 2021,23,15,0 mm,Parcialmente nublado,34 Km/h,A Coruña
12 de junio 2020,15,11,"25,7 mm",Ligeras precipitaciones,31 Km/h,A Coruña
12 de junio 2019,15,11,"3,5 mm",Ligeras precipitaciones,12 Km/h,A Coruña
13 de junio 2023,18,15,5 mm,Ligeras precipitaciones,11 Km/h,A Coruña
13 de junio 2022,26,15,0 mm,Nublado,28 Km/h,A Coruña
13 de junio 2021,22,11,7 mm,Intervalos de lluvias ligeras con tomenta en la región,17 Km/h,A Coruña
13 de junio 2020,17,13,"9,3 mm",Lluvias fuertes o moderadas,25 Km/h,A Coruña
13 de junio 2019,15,10,"0,3 mm",Lluvia moderada a intervalos,11 Km/h,A Coruña
14 de junio 2023,21,13,0 mm,Despejado,16 Km/h,A Coruña
14 de junio 2022,23,15,0 mm,Neblina,13 Km/h,A Coruña
14 de junio 2021,21,15,"1,9 mm",Parcialmente nublado,16 Km/h,A Coruña
14 de junio 2020,16,12,"2,3 mm",Ligeras precipitaciones,20 Km/h,A Coruña
14 de junio 2019,15,10,"0,5 mm",Lluvia moderada a intervalos,12 Km/h,A Coruña
15 de junio 2023,22,13,0 mm,Despejado,15 Km/h,A Coruña
15 de junio 2022,23,16,"0,2 mm",Parcialmente nublado,20 Km/h,A Coruña
15 de junio 2021,23,16,"0,5 mm",Neblina,22 Km/h,A Coruña
15 de junio 2020,16,12,"3,4 mm",Ligeras precipitaciones,18 Km/h,A Coruña
15 de junio 2019,16,11,"0,8 mm",Lluvia moderada a intervalos,17 Km/h,A Coruña
16 de junio 2023,22,15,0 mm,Nublado,8 Km/h,A Coruña
16 de junio 2022,23,16,"0,6 mm",Lluvia moderada a intervalos,16 Km/h,A Coruña
16 de junio 2021,19,15,"14,3 mm",Intervalos de lluvias ligeras con tomenta en la región,13 Km/h,A Coruña
16 de junio 2020,15,13,"4,6 mm",Ligeras precipitaciones,14 Km/h,A Coruña
16 de junio 2019,17,11,0 mm,Despejado,13 Km/h,A Coruña
17 de junio 2023,20,15,0 mm,Nublado,10 Km/h,A Coruña
17 de junio 2022,24,15,"0,2 mm",Cielos tormentosos en las aproximaciones,12 Km/h,A Coruña
17 de junio 2021,15,14,"9,5 mm",Ligeras lluvias,29 Km/h,A Coruña
17 de junio 2020,16,13,"2,6 mm",Ligeras precipitaciones,13 Km/h,A Coruña
17 de junio 2019,18,12,0 mm,Parcialmente nublado,8 Km/h,A Coruña
18 de junio 2023,21,14,"6,3 mm",Ligeras precipitaciones,18 Km/h,A Coruña
18 de junio 2022,23,16,"0,2 mm",Neblina,23 Km/h,A Coruña
18 de junio 2021,14,7,"24,7 mm",Lluvia moderada,24 Km/h,A Coruña
18 de junio 2020,16,11,0 mm,Parcialmente nublado,12 Km/h,A Coruña
18 de junio 2019,19,13,"17,9 mm",Periodos de fuertes lluvias,16 Km/h,A Coruña
19 de junio 2022,19,13,"1,2 mm",Ligeras precipitaciones,20 Km/h,A Coruña
19 de junio 2021,15,14,"5,5 mm",Ligeras precipitaciones,22 Km/h,A Coruña
19 de junio 2020,17,12,0 mm,Parcialmente nublado,9 Km/h,A Coruña
19 de junio 2019,16,14,"3,7 mm",Ligeras precipitaciones,16 Km/h,A Coruña
20 de junio 2022,17,13,"0,7 mm",Lluvia moderada a intervalos,12 Km/h,A Coruña
20 de junio 2021,14,8,"20,7 mm",Lluvia moderada,29 Km/h,A Coruña
20 de junio 2020,19,13,0 mm,Nublado,16 Km/h,A Coruña
20 de junio 2019,16,13,"1,3 mm",Ligeras precipitaciones,22 Km/h,A Coruña
21 de junio 2023,19,13,"0,2 mm",Nublado,16 Km/h,A Coruña
21 de junio 2022,19,13,"0,4 mm",Ligeras precipitaciones,13 Km/h,A Coruña
21 de junio 2021,16,11,"18,5 mm",Lluvias fuertes o moderadas,22 Km/h,A Coruña
21 de junio 2020,18,15,"1,1 mm",Ligeras precipitaciones,15 Km/h,A Coruña
21 de junio 2019,18,13,0 mm,Despejado,23 Km/h,A Coruña
22 de junio 2023,23,13,0 mm,Despejado,13 Km/h,A Coruña
22 de junio 2022,17,14,"0,9 mm",Ligeras precipitaciones,10 Km/h,A Coruña
22 de junio 2021,15,14,"15,1 mm",Lluvias fuertes o moderadas,23 Km/h,A Coruña
22 de junio 2020,22,15,0 mm,Neblina,10 Km/h,A Coruña
22 de junio 2019,19,14,"3,5 mm",Llovizna a intervalos,8 Km/h,A Coruña
23 de junio 2023,24,15,0 mm,Neblina,16 Km/h,A Coruña
23 de junio 2022,17,13,"2,3 mm",Ligeras precipitaciones,13 Km/h,A Coruña
23 de junio 2021,16,12,"1,5 mm",Lluvia moderada a intervalos,25 Km/h,A Coruña
23 de junio 2020,24,18,0 mm,Parcialmente nublado,10 Km/h,A Coruña
23 de junio 2019,19,14,"10,8 mm",Lluvia moderada a intervalos,13 Km/h,A Coruña
24 de junio 2023,28,17,0 mm,Despejado,11 Km/h,A Coruña
24 de junio 2022,18,13,1 mm,Llovizna,22 Km/h,A Coruña
24 de junio 2021,18,13,"0,1 mm",Lluvia moderada a intervalos,28 Km/h,A Coruña
24 de junio 2020,19,16,0 mm,Neblina,11 Km/h,A Coruña
24 de junio 2019,18,14,"1,2 mm",Lluvia moderada a intervalos,11 Km/h,A Coruña
25 de junio 2023,23,16,0 mm,Neblina,14 Km/h,A Coruña
25 de junio 2022,16,13,"1,2 mm",Ligeras precipitaciones,21 Km/h,A Coruña
25 de junio 2021,21,13,0 mm,Parcialmente nublado,22 Km/h,A Coruña
25 de junio 2020,19,16,0 mm,Parcialmente nublado,11 Km/h,A Coruña
25 de junio 2019,20,15,"0,6 mm",Lluvia moderada a intervalos,10 Km/h,A Coruña
26 de junio 2023,23,16,"0,2 mm",Lluvia moderada a intervalos,29 Km/h,A Coruña
26 de junio 2022,17,11,"0,2 mm",Lluvia moderada a intervalos,14 Km/h,A Coruña
26 de junio 2021,16,13,"0,5 mm",Lluvia moderada a intervalos,17 Km/h,A Coruña
26 de junio 2020,16,14,"3,5 mm",Ligeras precipitaciones,19 Km/h,A Coruña
26 de junio 2019,19,15,"6,4 mm",Ligeras precipitaciones,16 Km/h,A Coruña
27 de junio 2023,24,16,0 mm,Parcialmente nublado,30 Km/h,A Coruña
27 de junio 2022,17,12,0 mm,Parcialmente nublado,12 Km/h,A Coruña
27 de junio 2021,15,12,"2,9 mm",Lluvia moderada a intervalos,18 Km/h,A Coruña
27 de junio 2020,18,13,4 mm,Ligeras precipitaciones,16 Km/h,A Coruña
27 de junio 2019,19,16,"0,3 mm",Parcialmente nublado,8 Km/h,A Coruña
28 de junio 2023,23,15,0 mm,Despejado,25 Km/h,A Coruña
28 de junio 2022,20,10,0 mm,Despejado,15 Km/h,A Coruña
28 de junio 2021,16,13,"9,4 mm",Ligeras precipitaciones,24 Km/h,A Coruña
28 de junio 2020,19,14,"1,3 mm",Ligeras precipitaciones,14 Km/h,A Coruña
28 de junio 2019,21,14,0 mm,Despejado,13 Km/h,A Coruña
29 de junio 2023,19,15,"8,3 mm",Ligeras precipitaciones,26 Km/h,A Coruña
29 de junio 2022,18,13,"0,3 mm",Lluvia moderada a intervalos,15 Km/h,A Coruña
29 de junio 2021,17,13,"1,3 mm",Ligeras precipitaciones,10 Km/h,A Coruña
29 de junio 2020,17,14,"0,3 mm",Cielo cubierto,24 Km/h,A Coruña
29 de junio 2019,20,15,0 mm,Parcialmente nublado,10 Km/h,A Coruña
30 de junio 2023,19,14,"0,1 mm",Lluvia moderada a intervalos,16 Km/h,A Coruña
30 de junio 2022,18,12,"0,1 mm",Parcialmente nublado,13 Km/h,A Coruña
30 de junio 2021,17,12,0 mm,Parcialmente nublado,14 Km/h,A Coruña
30 de junio 2020,19,14,0 mm,Parcialmente nublado,13 Km/h,A Coruña
30 de junio 2019,18,15,"0,8 mm",Ligeras precipitaciones,20 Km/h,A Coruña
1 de julio 2023,21,15,"0,3 mm",Lluvia moderada a intervalos,14 Km/h,A Coruña
1 de julio 2022,22,11,0 mm,Despejado,22 Km/h,A Coruña
1 de julio 2021,19,13,0 mm,Parcialmente nublado,10 Km/h,A Coruña
1 de julio 2020,17,15,"1,5 mm",Llovizna,17 Km/h,A Coruña
1 de julio 2019,18,16,"0,6 mm",Nublado,30 Km/h,A Coruña
2 de julio 2023,23,16,"0,2 mm",Lluvia moderada a intervalos,27 Km/h,A Coruña
2 de julio 2022,20,13,0 mm,Cielo cubierto,30 Km/h,A Coruña
2 de julio 2021,19,15,"0,4 mm",Cielo cubierto,11 Km/h,A Coruña
2 de julio 2020,16,14,"1,4 mm",Ligeras precipitaciones,13 Km/h,A Coruña
2 de julio 2019,19,16,"0,2 mm",Nublado,32 Km/h,A Coruña
3 de julio 2023,24,15,0 mm,Parcialmente nublado,15 Km/h,A Coruña
3 de julio 2022,20,15,"0,5 mm",Ligeras precipitaciones,32 Km/h,A Coruña
3 de julio 2021,19,16,"2,7 mm",Lluvia moderada a intervalos,22 Km/h,A Coruña
3 de julio 2020,17,12,"0,3 mm",Lluvia moderada a intervalos,17 Km/h,A Coruña
3 de julio 2019,22,16,"0,3 mm",Nublado,26 Km/h,A Coruña
4 de julio 2023,22,15,"0,2 mm",Lluvia moderada a intervalos,15 Km/h,A Coruña
4 de julio 2022,23,16,0 mm,Cielo cubierto,33 Km/h,A Coruña
4 de julio 2021,18,16,"1,6 mm",Ligeras precipitaciones,20 Km/h,A Coruña
4 de julio 2020,20,13,0 mm,Parcialmente nublado,8 Km/h,A Coruña
4 de julio 2019,21,17,"6,5 mm",Intervalos de lluvias ligeras con tomenta en la región,19 Km/h,A Coruña
5 de julio 2023,20,15,0 mm,Cielo cubierto,11 Km/h,A Coruña
5 de julio 2022,24,16,0 mm,Cielos tormentosos en las aproximaciones,35 Km/h,A Coruña
5 de julio 2021,21,15,"7,5 mm",Lluvia moderada,30 Km/h,A Coruña
5 de julio 2020,20,16,0 mm,Neblina,19 Km/h,A Coruña
5 de julio 2019,20,16,"4,8 mm",Ligeras precipitaciones,13 Km/h,A Coruña
6 de julio 2023,22,14,0 mm,Parcialmente nublado,12 Km/h,A Coruña
6 de julio 2022,24,16,"0,5 mm",Lluvia moderada a intervalos,35 Km/h,A Coruña
6 de julio 2021,17,13,"2,6 mm",Ligeras precipitaciones,24 Km/h,A Coruña
6 de julio 2020,19,16,"0,2 mm",Lluvia moderada a intervalos,35 Km/h,A Coruña
6 de julio 2019,20,16,"0,2 mm",Nublado,10 Km/h,A Coruña
7 de julio 2023,25,14,"2,2 mm",Nublado,24 Km/h,A Coruña
7 de julio 2022,25,15,0 mm,Despejado,34 Km/h,A Coruña
7 de julio 2021,17,13,2 mm,Ligeras precipitaciones,13 Km/h,A Coruña
7 de julio 2020,22,15,0 mm,Parcialmente nublado,28 Km/h,A Coruña
7 de julio 2019,20,16,"0,1 mm",Parcialmente nublado,22 Km/h,A Coruña
8 de julio 2023,21,16,"7,2 mm",Ligeras precipitaciones,24 Km/h,A Coruña
8 de julio 2022,27,15,0 mm,Despejado,33 Km/h,A Coruña
8 de julio 2021,17,14,"0,9 mm",Lluvia moderada a intervalos,16 Km/h,A Coruña
8 de julio 2020,21,15,0 mm,Parcialmente nublado,32 Km/h,A Coruña
8 de julio 2019,19,16,0 mm,Nublado,26 Km/h,A Coruña
9 de julio 2023,23,14,0 mm,Parcialmente nublado,22 Km/h,A Coruña
9 de julio 2022,31,16,0 mm,Despejado,24 Km/h,A Coruña
9 de julio 2021,18,12,0 mm,Parcialmente nublado,19 Km/h,A Coruña
9 de julio 2020,20,16,0 mm,Parcialmente nublado,22 Km/h,A Coruña
9 de julio 2019,20,16,0 mm,Parcialmente nublado,18 Km/h,A Coruña
10 de julio 2023,23,14,0 mm,Despejado,13 Km/h,A Coruña
10 de julio 2022,28,18,0 mm,Despejado,12 Km/h,A Coruña
10 de julio 2021,19,14,0 mm,Neblina,11 Km/h,A Coruña
10 de julio 2020,19,16,0 mm,Nublado,31 Km/h,A Coruña
10 de julio 2019,23,15,0 mm,Despejado,22 Km/h,A Coruña
11 de julio 2023,24,16,0 mm,Neblina,19 Km/h,A Coruña
11 de julio 2022,24,17,0 mm,Cielo cubierto,8 Km/h,A Coruña
11 de julio 2021,19,15,"0,2 mm",Parcialmente nublado,13 Km/h,A Coruña
11 de julio 2020,21,16,0 mm,Nublado,34 Km/h,A Coruña
11 de julio 2019,22,16,0 mm,Despejado,14 Km/h,A Coruña
12 de julio 2023,20,16,"0,2 mm",Lluvia moderada a intervalos,12 Km/h,A Coruña
12 de julio 2022,31,19,0 mm,Nublado,11 Km/h,A Coruña
12 de julio 2021,16,13,"4,9 mm",Ligeras precipitaciones,18 Km/h,A Coruña
12 de julio 2020,23,16,0 mm,Parcialmente nublado,32 Km/h,A Coruña
12 de julio 2019,23,16,0 mm,Despejado,25 Km/h,A Coruña
13 de julio 2023,22,13,0 mm,Parcialmente nublado,11 Km/h,A Coruña
13 de julio 2022,29,19,0 mm,Despejado,20 Km/h,A Coruña
13 de julio 2021,17,13,"2,2 mm",Ligeras precipitaciones,12 Km/h,A Coruña
13 de julio 2020,21,16,0 mm,Parcialmente nublado,32 Km/h,A Coruña
13 de julio 2019,21,16,"4,9 mm",Lluvia moderada a intervalos,23 Km/h,A Coruña
14 de julio 2023,24,15,6 mm,Ligeras precipitaciones,28 Km/h,A Coruña
14 de julio 2022,31,21,"0,1 mm",Lluvia moderada a intervalos,26 Km/h,A Coruña
14 de julio 2021,18,14,0 mm,Nublado,27 Km/h,A Coruña
14 de julio 2020,19,15,0 mm,Parcialmente nublado,28 Km/h,A Coruña
14 de julio 2019,21,16,0 mm,Nublado,20 Km/h,A Coruña
15 de julio 2023,20,14,"6,6 mm",Ligeras precipitaciones,20 Km/h,A Coruña
15 de julio 2022,29,19,"0,2 mm",Lluvia moderada a intervalos,14 Km/h,A Coruña
15 de julio 2021,22,14,0 mm,Parcialmente nublado,32 Km/h,A Coruña
15 de julio 2020,19,16,"0,3 mm",Nublado,32 Km/h,A Coruña
